12.09.2018;12.09.2018;12.09.2018;12.09.2018;12.10.2018;12.10.2018;12.10.2018;12.10.2018;12.11.2018;12.11.2018;12.11.2018;12.11.2018;12.12.2018;12.12.2018;12.12.2018;12.12.2018
<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
104980;104980;104940;104940;114630;114700;114630;114690;112200;112220;112130;112150;112600;112660;112590;112610
104930;104930;104900;104900;114690;114720;114630;114700;112150;112220;112150;112160;112600;112630;112580;112600
104900;104950;104900;104950;114700;114730;114670;114730;112180;112220;112160;112180;112610;112650;112540;112550
104970;104980;104960;104980;114730;114740;114680;114680;112170;112200;112150;112180;112550;112580;112530;112570
104990;104990;104920;104940;114680;114690;114660;114670;112190;112230;112170;112170;112580;112610;112570;112600
104960;104960;104960;104960;114670;114710;114660;114680;112180;112200;112170;112200;112600;112640;112560;112610
104970;104970;104970;104970;114670;114690;114660;114670;112190;112250;112190;112240;112620;112650;112570;112610
104990;104990;104990;104990;114680;114740;114680;114700;112250;112250;112170;112190;112610;112710;112610;112700
104950;104970;104940;104970;114710;114830;114700;114810;112200;112230;112180;112200;112710;112750;112650;112720
105000;105030;105000;105030;114820;114840;114670;114680;112210;112300;112210;112300;112710;112780;112700;112760
105050;105100;105050;105080;114680;114750;114650;114690;112300;112320;112260;112260;112760;112820;112750;112770
105060;105060;105030;105030;114700;114700;114660;114690;112260;112300;112260;112280;112780;112790;112700;112700
105030;105040;105030;105040;114690;114730;114610;114650;112280;112300;112260;112260;112720;112760;112720;112750
105040;105040;105040;105040;114650;114660;114600;114630;112270;112330;112270;112300;112760;112780;112690;112700
105010;105040;105010;105040;114610;114690;114610;114660;112310;112470;112310;112470;112700;112710;112650;112690
105010;105010;104950;104990;114650;114700;114590;114640;112470;112490;112430;112450;112680;112740;112680;112740
105070;105140;105070;105140;114650;114660;114600;114620;112450;112540;112450;112540;112730;112960;112730;112860
105150;105220;105150;105160;114620;114650;114600;114610;112540;112560;112450;112470;112860;112900;112830;112850
105170;105340;105170;105220;114630;114670;114610;114640;112470;112480;112430;112460;112850;112920;112800;112840
105330;105430;105330;105390;114650;114670;114610;114610;112450;112500;112450;112480;112820;112850;112820;112850
105440;105580;105440;105520;114630;114630;114570;114600;112460;112490;112440;112470;112850;112920;112830;112870
105540;105540;105500;105500;114600;114630;114590;114600;112470;112480;112420;112460;112870;112880;112820;112820
105500;105510;105490;105490;114610;114620;114580;114590;112470;112480;112390;112420;112830;112840;112810;112830
105500;105730;105500;105700;114590;114610;114570;114580;112430;112470;112400;112470;112830;112880;112830;112850
105680;105680;105590;105620;114570;114680;114570;114630;112460;112520;112440;112520;112850;112850;112740;112760
105630;105630;105610;105610;114650;114660;114620;114640;112510;112540;112490;112490;112770;112780;112650;112670
105610;105610;105580;105580;114640;114700;114630;114650;112490;112500;112430;112430;112680;112750;112670;112730
105580;105630;105580;105630;114660;114730;114660;114700;112430;112450;112400;112400;112730;112740;112650;112650
105560;105570;105560;105560;114690;114720;114650;114660;112410;112460;112410;112420;112650;112660;112590;112600
105550;105550;105530;105530;114680;114680;114620;114630;112430;112460;112370;112390;112600;112640;112570;112620
105510;105520;105510;105520;114640;114640;114510;114520;112380;112450;112380;112410;112630;112660;112600;112610
105510;105530;105510;105530;114520;114530;114430;114490;112420;112500;112410;112500;112600;112610;112550;112580
105530;105550;105530;105550;114490;114500;114440;114460;112500;112530;112460;112490;112580;112640;112560;112620
105570;105570;105500;105530;114460;114540;114420;114540;112480;112580;112480;112500;112610;112660;112610;112640
105510;105510;105500;105500;114530;114530;114500;114520;112510;112520;112460;112480;112630;112690;112620;112620
105480;105500;105480;105500;114520;114540;114490;114490;112490;112500;112430;112440;112630;112680;112620;112670
105480;105480;105440;105440;114490;114490;114460;114460;112440;112450;112380;112390;112660;112680;112600;112630
105460;105480;105460;105480;114470;114530;114460;114510;112390;112420;112370;112410;112630;112660;112600;112640
105470;105490;105460;105490;114530;114550;114510;114520;112410;112410;112320;112350;112630;112680;112620;112680
105480;105480;105420;105420;114520;114610;114510;114610;112350;112380;112300;112300;112680;112750;112670;112720
105460;105490;105460;105490;114610;114610;114540;114550;112320;112340;112280;112300;112730;112810;112720;112770
105500;105500;105500;105500;114530;114590;114500;114590;112310;112340;112290;112300;112770;112770;112700;112700
105500;105500;105500;105500;114600;114600;114490;114510;112290;112320;112280;112300;112700;112730;112680;112680
105510;105550;105510;105550;114490;114520;114420;114420;112300;112360;112300;112360;112690;112750;112660;112750
105580;105590;105570;105570;114430;114490;114410;114470;112350;112390;112350;112380;112750;112760;112660;112660
105590;105610;105590;105600;114470;114500;114450;114460;112380;112390;112360;112370;112660;112660;112560;112610
105610;105610;105570;105590;114450;114450;114400;114400;112370;112380;112330;112370;112600;112640;112600;112620
105590;105610;105590;105610;114400;114450;114390;114430;112350;112350;112280;112350;112630;112640;112580;112580
105550;105550;105550;105550;114450;114460;114320;114370;112340;112390;112340;112350;112580;112610;112570;112610
105540;105540;105540;105540;114360;114400;114320;114390;112360;112460;112350;112410;112610;112610;112580;112580
105470;105470;105440;105440;114370;114380;114330;114380;112420;112420;112360;112370;112580;112580;112510;112550
105450;105450;105450;105450;114390;114440;114390;114420;112390;112400;112350;112360;112560;112610;112560;112590
105420;105450;105400;105400;114400;114440;114340;114430;112370;112390;112360;112390;112590;112590;112520;112550
105390;105390;105380;105380;114400;114440;114390;114420;112390;112420;112370;112380;112540;112540;112500;112510
105350;105370;105350;105370;114430;114530;114430;114470;112390;112410;112380;112410;112520;112540;112470;112500
105430;105430;105430;105430;114480;114480;114410;114430;112390;112420;112330;112340;112500;112570;112490;112510
105460;105460;105410;105410;114430;114430;114320;114360;112340;112360;112320;112350;112520;112550;112470;112470
105400;105400;105360;105360;114370;114480;114360;114480;112340;112380;112340;112350;112470;112510;112380;112410
105350;105350;105350;105350;114480;114500;114390;114410;112360;112400;112350;112400;112400;112490;112360;112480
105370;105370;105350;105360;114420;114430;114390;114410;112390;112410;112390;112390;112480;112610;112470;112590
105360;105360;105360;105360;114410;114430;114350;114350;112380;112390;112330;112330;112610;112640;112550;112580
105380;105390;105380;105390;114360;114380;114320;114340;112320;112370;112320;112340;112590;112620;112570;112600
105390;105390;105390;105390;114330;114400;114320;114340;112350;112360;112300;112310;112600;112670;112580;112660
